,user,favorite_count,retweet_count
156,4196983835,0,875
157,4196983835,7815,2297
158,4196983835,24504,5623
159,4196983835,19011,3703
160,4196983835,17361,6243
161,4196983835,0,33023
162,4196983835,19889,4301
163,4196983835,15988,3739
164,4196983835,19332,1685
165,4196983835,93874,32406
166,4196983835,35301,14574
167,4196983835,0,8716
168,4196983835,16174,3719
169,4196983835,22441,5205
170,4196983835,16404,3120
171,4196983835,16817,2776
172,4196983835,35767,11376
173,4196983835,6188,1765
174,4196983835,20879,4869
175,4196983835,240,20
176,4196983835,0,182
177,4196983835,19771,4309
178,4196983835,0,11516
179,4196983835,17016,3098
180,4196983835,12368,2038
181,4196983835,0,725
182,4196983835,537,17
183,4196983835,28886,6774
184,4196983835,353,28
185,4196983835,4741,1087
186,4196983835,12401,2287
187,4196983835,47501,19018
188,4196983835,27854,5871
189,4196983835,31431,8893
190,4196983835,0,6486
191,4196983835,0,50
192,4196983835,24028,6620
193,4196983835,30869,7508
194,4196983835,19894,5100
195,4196983835,33673,8196
196,4196983835,17038,3407
197,4196983835,30199,6314
198,4196983835,36904,11127
199,4196983835,16394,3894
200,4196983835,0,2209
201,4196983835,9565,2014
202,4196983835,15796,2351
203,4196983835,17343,3840
204,4196983835,35065,10845
205,4196983835,21204,7494
206,4196983835,12129,1728
207,4196983835,0,10593
208,4196983835,0,23
209,4196983835,17175,3790
210,4196983835,25754,7768
211,4196983835,21948,6290
212,4196983835,33067,10239
213,4196983835,13887,2877
214,4196983835,3624,365
215,4196983835,17384,4202
216,4196983835,21784,5397
217,4196983835,32452,8393
218,4196983835,0,5463
219,4196983835,16919,3448
220,4196983835,12159,2078
221,4196983835,32390,7299
222,4196983835,26890,4764
223,4196983835,26455,5088
224,4196983835,8748,823
225,4196983835,17462,3407
226,4196983835,0,3615
227,4196983835,0,474
228,4196983835,25102,5675
229,4196983835,5885,1493
230,4196983835,7492,460
231,4196983835,20044,3742
232,4196983835,21846,4750
233,4196983835,21415,6493
234,4196983835,22931,3543
235,4196983835,21514,4362
236,4196983835,48011,12920
237,4196983835,15178,3446
238,4196983835,34114,10097
239,4196983835,32980,10862
240,4196983835,17135,3188
241,4196983835,31460,9760
242,4196983835,26940,5304
243,4196983835,0,14883
244,4196983835,8189,2043
245,4196983835,25043,5980
246,4196983835,0,8541
247,4196983835,14618,2882
248,4196983835,16243,3574
249,4196983835,41681,11516
250,4196983835,17708,3496
251,4196983835,14640,2432
252,4196983835,16207,3250
253,4196983835,23030,5172
254,4196983835,18160,3047
255,4196983835,23126,6775
256,4196983835,16333,3980
257,4196983835,7267,1428
258,4196983835,19480,3902
259,4196983835,26390,6486
260,4196983835,15094,3352
261,4196983835,0,17284
262,4196983835,27633,8647
263,4196983835,13654,4117
264,4196983835,21258,6038
265,4196983835,17151,5252
266,4196983835,24734,5929
267,4196983835,0,1952
268,4196983835,0,18113
269,4196983835,196,3
270,4196983835,13270,1105
271,4196983835,9682,1952
272,4196983835,17776,5103
273,4196983835,20790,6424
274,4196983835,14510,2568
275,4196983835,29736,8716
276,4196983835,0,158
277,4196983835,29438,7347
278,4196983835,21176,4463
279,4196983835,12086,2329
280,4196983835,0,37
281,4196983835,0,12472
282,4196983835,11803,1487
283,4196983835,24492,5424
284,4196983835,0,11399
285,4196983835,1809,364
286,4196983835,149,0
287,4196983835,19043,3534
288,4196983835,37020,8828
289,4196983835,4165,491
290,4196983835,13855,2596
291,4196983835,22869,5943
292,4196983835,17340,2701
293,4196983835,0,86
294,4196983835,13782,2581
295,4196983835,20843,5179
296,4196983835,13668,2496
297,4196983835,0,618
298,4196983835,0,30993
299,4196983835,15926,3303
300,4196983835,22997,4808
301,4196983835,20735,4876
302,4196983835,0,9222
303,4196983835,19295,4082
304,4196983835,0,1922
305,4196983835,0,23719
306,4196983835,17749,3359
307,4196983835,8427,1922
308,4196983835,2247,82
309,4196983835,28346,6459
310,4196983835,24379,3410
311,4196983835,11754,1862
312,4196983835,22797,6111
313,4196983835,14875,2852
314,4196983835,0,12078
315,4196983835,10432,1887
316,4196983835,22410,5415
317,4196983835,17069,4089
318,4196983835,10907,2402
319,4196983835,14191,2492
320,4196983835,14541,2704
